INFO 2025-09-05 15:45:58,129 basehttp 16672 4236 "GET /api/cart/ HTTP/1.1" 200 130
INFO 2025-09-05 15:46:01,810 basehttp 16672 16616 "OPTIONS /api/orders/ HTTP/1.1" 200 0
INFO 2025-09-05 15:46:01,811 basehttp 16672 4236 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:46:01,811 basehttp 16672 3504 "OPTIONS /api/orders/ HTTP/1.1" 200 0
INFO 2025-09-05 15:46:01,861 basehttp 16672 4236 "GET /api/orders/ HTTP/1.1" 200 410
INFO 2025-09-05 15:46:01,876 basehttp 16672 16616 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:46:01,903 basehttp 16672 3504 "GET /api/orders/ HTTP/1.1" 200 410
INFO 2025-09-05 15:46:04,243 basehttp 16672 4236 "OPTIONS /api/orders/30/ HTTP/1.1" 200 0
INFO 2025-09-05 15:46:04,243 basehttp 16672 16616 "OPTIONS /api/orders/30/ HTTP/1.1" 200 0
INFO 2025-09-05 15:46:04,244 basehttp 16672 3504 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:46:04,273 basehttp 16672 3504 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:46:04,294 basehttp 16672 16616 "GET /api/orders/30/ HTTP/1.1" 200 372
INFO 2025-09-05 15:46:04,333 basehttp 16672 3504 "GET /api/orders/30/ HTTP/1.1" 200 372
INFO 2025-09-05 15:46:09,256 basehttp 16672 3504 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:46:09,309 basehttp 16672 3504 "GET /api/orders/ HTTP/1.1" 200 410
INFO 2025-09-05 15:46:09,327 basehttp 16672 16616 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:46:09,345 basehttp 16672 4236 "GET /api/orders/ HTTP/1.1" 200 410
INFO 2025-09-05 15:46:10,128 basehttp 16672 4236 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:46:10,161 basehttp 16672 4236 "GET /api/cart/ HTTP/1.1" 200 130
INFO 2025-09-05 15:46:10,172 basehttp 16672 16616 "GET /api/user/profile/ HTTP/1.1" 200 98
